project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
NhpISHProj,Non-Human Primate ISH,NHP ISH,"Non-human primates provide experimentally tractable model systems that allow carefully controlled analysis of important developmental processes relevant for human health and disease. The goal of the NIH Blueprint Non-Human Primate (NHP) Atlas is to provide a detailed analysis of gene expression in the normal developing primate brain in brain regions associated with high-level cognitive, mnemonic and emotional functions as well as neurodevelopmental disorders linked to disruption of these capacities. One of the data components of the NHP Atlas is a focused study of cellular resolution localization of gene expression at different developmental stages in specific anatomical regions and cell types, as well as throughout a complete adult hemisphere, using colorimetric in situ hybridization (ISH). This profiling was performed in two major phases. The first is a developmental timeseries spanning postnatal development in a set of specific forebrain regions. These regions match those assayed using DNA microarrays in the other major portion of the NHP atlas. The second is a cellular resolution analysis of a targeted gene set across entire hemispheres of the entire adult rhesus brain. A standardized processing pipeline was used to section tissue samples, perform histological staining, generate standardized colorimetric ISH data, and acquire images from the resulting stained tissue. For cellular resolution localization of gene expression in specific anatomical regions and cell types across postnatal development, genes were selected from several categories of broad scientific and clinical interest, including highly restricted marker genes for specific anatomical regions and cell types, gene families important to neural function, disease-related genes and genes important in the comparative genomics field. ISH data are presented for medial prefrontal cortex, primary visual cortex, hippocampus, amygdala and ventral striatum, with genes for each structure assayed across the four timepoints neonate (birth), infant (3 months), juvenile (12 months), and post-pubertal adult (48 months) in three male specimens. For cellular resolution localization of gene expression throughout the entire adult brain, ISH data are generated serially across complete hemispheres of three post-pubertal adult (48 months) male specimens, focusing on cellular marker genes, genes with cortical area specificity and gene families important to neural function. Complementing the ISH data across a complete hemisphere are the histological stains Nissl, acetylcholinesterase and SMI-32 that combined with the ISH data provide an unprecedented cellular resolution view into the post-pubertal adult brain.",data collection project,,,
NHPMAProj,Non-Human Primate Microarray,NHP MA,"The goal of the NIH Blueprint Non-Human Primate (NHP) Atlas is to provide a detailed analysis of gene expression in the normal developing primate brain in brain regions associated with high-level cognitive, mnemonic and emotional functions as well as neurodevelopmental disorders linked to disruption of these capacities. The primary data component of the NHP atlas is genome-wide transcriptional profiling aimed at the identification of transcriptional programs differentially regulated in specific brain regions at different stages of brain maturation. This profiling was performed in rhesus macaque across pre- and postnatal development to provide a full developmental time course from early brain formation through adulthood. The methodological approach aimed to isolate and analyze all histologically discrete developmental and mature partitions (e.g., layers, nuclei) of the neocortex (primary visual cortex and medial prefrontal cortex), hippocampus, striatum and amygdala. Two different tissue isolation strategies were utilized (laser microdissection and microdissection) and RNA isolated from these samples was amplified and used for DNA microarray analysis using Affymetrix GeneChip Rhesus Macaque Genome Arrays. Laser microdissection was used to isolate target brain regions from tissue sections across six prenatal developmental stages (E40, E50, E70, E80, E90, and E120), corresponding to peak periods of neurogenesis for the different layers of primary visual cortex based on birth-dating experiments. Postnatal stages were also profiled using laser microdissection at each of four postnatal developmental stages representing the neonate (0 months), infant (3 months), juvenile (12 months) and post-pubertal adult (48 months). Macrodissection was used to isolate tissue from primary visual cortex, medial prefrontal cortex, hippocampus, amygdala, and ventral striatum",data collection project,,,
NhpRefProj,Non-Human Primate Reference Data,NHP Ref,"The goal of the NIH Blueprint Non-Human Primate (NHP) Atlas is to provide a detailed analysis of gene expression in the normal developing primate brain in brain regions associated with high-level cognitive, mnemonic and emotional functions as well as neurodevelopmental disorders linked to disruption of these capacities. Non-human primates provide experimentally tractable model systems that allow carefully controlled analysis of important developmental processes relevant for human health and disease. A major component of the NHP Atlas is genome-wide transcriptional profiling aimed at the identification of transcriptional programs differentially active at different stages of brain maturation in neonates, infants, juveniles and adults. Also, a significant component of the NHP Atlas consists of cellular level in situ hybridization (ISH) on medial prefrontal cortex, primary visual cortex, hippocampus, amygdala, and ventral striatum with a panel of genes for each structure assayed across four time points (birth, 3 months, 12 months, and 48 months). In addition, ISH data serially across complete hemispheres of three 48-month male specimens was included. To complement these postnatal gene expression datasets, stage-specific magnetic resonance imaging (MRI) and histological reference series for each developmental time point was generated to provide a developmental neuroanatomical framework of reference for the ISH and microarray data. An interleaved atlas of MRI, histology, and block face photographs was created from four male rhesus macaques at the following ages: 2 weeks (birth), 3 months, 12 months, and 48 months. The protocol to generate this data consisted of several components: high resolution MRI, transcardial perfusion, rod insertion, embedding, cryoprotection, flash freezing, attaching the embedded brain to the microtome stage, sectioning, mounting, and staining, which were all performed at University of CaliforniaDavis. Image acquisition and image processing were completed at the Allen Institute.",data collection project,,,
NpxVcProj,Visual Coding - Neuropixels,Neuropixels Visual Coding,"The Visual Coding - Neuropixels dataset is a systematic survey of spiking activity in the mouse visual system and beyond.  Each experiment includes data from up to six Neuropixels probes recording simultaneously in cortex, hippocampus, and thalamus. Data for each experiment is packaged in Neurodata Without Borders (NWB) files that can be downloaded via AllenSDK.",data collection project,,,
SleepStudy,"Characterization of gene expression in mouse brain across sleep/wake, sleep deprivation, and recovery sleep.",Sleep Study,"The Sleep Study is a survey of gene expression that was performed to understand the changes in mouse brain during sleep/wake, and in response to sleep deprivation.  Laser microdissection was performed to isolate regions of mouse brain involved in either sleep cycle regulation or in higher executive functions impacted by sleep deprivation, and the tissue was used for microarray profiling. In situ hybridization across whole mouse brain was then performed to characterize gene expression across 5 conditions. Genes selected for in situ hybridization included immediate early response genes as a proxy for neuronal activity, genes reported in the literature as changing across sleep/wake and sleep deprivation, and genes differentially expressed in microarray.",data collection project,,,
VisCodOphysProj,Visual Coding - Optical Physiology,Visual Coding Ophys,"The Allen Brain Observatory presents the first standardized in vivo survey of physiological activity in the mouse visual cortex, featuring representations of visually evoked calcium responses from GCaMP6-expressing neurons in selected cortical layers, visual areas and Cre lines. This dataset provides a resource for exploring the progressive coding of sensory stimuli through the cortical visual pathway at both the single cell and population level.",data collection project,,,
TransgenicSTPT,Transgenic Characterization - serial two-photon tomography,Transgenic STPT,"Transgene expression was used to label cell types and brain regions in mouse brain, and these transgenes were characterized using serial two-photon tomography to create 3D volumes. These data were used in conjunction with other multimodal reference data to parcellate the entire mouse brain into anatomic regions in order to create the Allen Mouse Brain Common Coordinate Framework (CCFv3), an annotated 3D reference space with 10µm voxel resolution.",data collection project,,,
HumanGBMISHProj,Ivy Glioblastoma In situ Hybridization,Ivy GBM ISH,"In situ hybridization data was generated for a variety of gene sets on tissue sections of human glioblastoma samples. These included the following sets of genes: 1) a primary screen of 8 tumors with probes for 343 genes enriched in glioblastoma; 2) a subsequent screen of 29 tumors with probes for 37 genes enriched in glioblastoma structures identified in a corresponding RNA sequencing study of gene enrichment in anatomic structurs of glioblastoma; 3) a primary screen of 16 tumors with probes for 55 genes enriched in putative cancer stem cells, resulting in a 20 probe reference set, which was then used in an extensive screen of 42 tumors; and 4) a subsequent screen of 37 tumors with probes for 76 genes enriched in clusters of putative cancer stem cells identified in a corresponding RNA sequencing study of cancer stem cells.",data collection project,,,
dong_antero_proj,Cre-dependent anterograde pathway tracing,Anterograde tracing,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide targets of projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent anterograde tracing was used. Cre was delivered to a projection-defined population of neurons, whose outputs were then traced via a Cre-dependent anterograde tracer injection. Utilizing this strategy, the unique brain-wide connections of different projection-defined neurons can be attained (e.g., targets of caudoputamen-projecting amygdala neurons versus targets of hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details",data collection project,,,
dong_retro_proj,Retrograde pathway tracing,Retrograde tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, 3-5 retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, basal ganglia, hippocampus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
dong_trio_proj,Tracing the relationship between input and output (TRIO),TRIO,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide inputs to projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent rabies viral tracing was used. Cre was delivered to a projection-defined population of neurons, which received TVA and rabies glycoprotein delivered via a Cre-dependent helper virus. Next, an EnvA pseudotyped G-deleted rabies virus was delivered to the same population of neurons to label their monosynaptic inputs from cells across the brain (e.g., brain-wide inputs to caudoputamen-projecting amygdala neurons). Utilizing this strategy, the unique brain-wide monosynaptic inputs to different projection-defined cell types can be attained (e.g., inputs to caudoputamen-projecting amygdala neurons versus inputs to hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
ecker_sn_ATACseq_proj,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Chromatin accessibility,"The goal is to profile open chromatin at single cell resolution using snATAC-seq across >100 mouse brain regions. The resulting profiles will be used to both define cell types and generate comprehensive catalogs of regulatory elements for each cell type. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). Pooled nuclei were subjected to tagged Tn5 transposon insertion to identify accessible chromatin (snATAC-seq). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.",data collection project,,,
ecker_sn_mCseq_proj,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Methylation nuclei,"The goal is to generate single nucleus methyl-C genomic DNA sequencing data from isolated cells from >100 regions of the mouse brain for both cell-type classification and the identification of regulatory elements. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). NeuN-positive and NeuN-negative cell nuclei were purified from each pool, and isolated nuclei subjected to single nuclei methyl-C DNA sequencing (snmC-seq2). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.",data collection project,,,
ecker_sn_mCseq_retro_proj,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Methylation projection neurons,"The goal is to generate single nucleus methyl-C DNA sequence data from purified projection neurons from >100 neuronal circuits in the mouse brain. Recombinant AAV is injected bilaterally into selected brain regions in INTACT mice (B6.129-Gt(ROSA)26Sortm5(CAG-Sun1/sfGFP)Nat/MmbeJ animals in the C57BL/6 background, Jax stock #030952 @ two male and two female animals per injection site). Two weeks post AAV infection (P56), dissection of mouse brains follows the slice/region isolation protocol used in RS1. GFP-positive nuclei of projection neurons are isolated from the tissue segments pooled from selected anatomical regions that are known to project to the initial injection target, and subjected to single nuclei methyl-C DNA sequence analysis (snmC-seq2). Over 100 brain region pairings are analyzed from both male and female mice.",data collection project,,,
ecker_trio_proj,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),TRIO tracing,"The goal is to link the epigenetic profiles of projection neurons to their monosynaptic inputs and distant outputs from >100 neuronal circuits in the mouse brain. TRIO experiments use 3 different viruses (AAVretro-Ef1a-Cre, AAV8-hSyn-FLEX- TVA-P2A-GFP-2A-oG helper virus, and EnvA pseudotyped G-deleted Rabies mCherry (EnvA RVdG-4mCherry). At the start of the experiment, AAVretro-Ef1a-Cre is injected unilaterally into structures that receive axons of target brain regions of interest. Two weeks post AAV infection (P70), injection of AAV helper virus and G-deleted rabies virus (AAV8hSyn-FLEX-TVA-P2A-GFP-2A-oG helper virus, EnvA RVdG-4mCherry) are made into the regions of interest. One week following the injection of AAV helper and rabies virus the brains are sectioned and imaged to visualize neuronal populations defined by their corresponding input and output profiles. The patterns of labeling across the whole brain are then reconstructed, quantified, and mapped to the Allen CCF and made available on www.mouseconnectome.org. This results in labeling, across the entire brain of neurons providing input to each projection cell type within epigenetically defined regions of interest. over 100 brain regions are analyzed for male mice.",data collection project,,,
feng_fish_proj,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,FISH,"By using Fluorescent In Situ Hybirdization techniques, we will profile the mRNA expression data of sparsely labeled GFP cells across 16 brain regions. This data will then be funneled through our semi-automatic tracing pipeline. The morphological and spatial data will be used to create an interactive atlas of the marmoset brain. ",data collection project,,,
feng_sn_dropseq_proj,A Molecular and Cellular Atlas of the Marmoset Brain - Single nucleus sequencing,Single nucleus sequencing,Single nucleus RNA sequencing of cells from marmoset brain.,data collection project,,,
huang_antero_proj,Triple anterograde pathway tracing,Anterograde tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Anterograde pathway tracers identify the output connections of injected regions by labeling axons, axon terminals, and boutons. Male C57BL wild type mice 8 weeks of age were used. In one experiment, three anterograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, the output of three different populations of neurons were traced simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
huang_pn_proj,Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex,Projection Neurons,"Our goal is to create a high-resolution atlas of projection neurons in the mouse cortex using large scale single cell transcriptomic analysis across cortical regions.  CRE-driver lines targeting major cortical projection neuron subtypes and crossed to the Sun1-GFP nuclear reporter mouse line (C57 background) were used.  Samples representiung different cortical regions were dissected at p56. Individual nuclei were dissociated, sorted based on GFP labeling, and processed for single nuclei RNA sequencing using 10X Chromium V2. All regions sampled were obtained from both brain hemispheres in male and female mice. ",data collection project,,,
huang_retro_proj,Quadruple retrograde pathway tracing,Quadruple retrograde,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, four retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
huang_sn_10xv2_proj,Transcriptomic cell types in the mouse brain: 10x nuclei,10x 3' v2 and v3 sequencing,"Our goal is to create a high quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. C57 wild-type mice at p60 were used. Dissections of frozen tissue were performed to obtain regions including neocortex, isocotex,substantia nigra, bed nucleus of the stria terminalis, cerebellum and hippocampus. Nuclei were sorted based on fluorescent DAPI staining of dissociated singlet nuclei and processed for single cell RNA sequencing using 10X Chromium V2.   All regions sampled were obtained from both brain hemispheres in male and female mice. ",data collection project,,,
huang_stpt_conn_proj,Cre-dependent anterograde tracing in the forebrain,Anterograde tracing,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.,data collection project,,,
huang_stpt_count_proj,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.,data collection project,,,
kriegstein_sc_10x_proj,Single-Cell Sequencing of the Developing Human Brain,10x 3' v2 and v3 sequencing,"The human brain is composed of diverse cell types across brain regions that enable unique capabilities. Within the brain, the cerebral cortex is responsible for a number of cognitive functions and sensory integration, with distinct cortical regions controlling a variety of tasks including motion, vision, speech, and judgment. Recent work exploring the cell types of two distinct cortical regions in the human and mouse suggests that excitatory neurons are area specific and emerge during developmental stages of peak neurogenesis. However, further characterization of cortical arealization is required to understand whether gradients, sharp boundaries, or some combination of patterns describes the areal distribution of neurons and other cortical cell types. Importantly, accurate modeling of cortical development and understanding biological constraints for any attempts at stem cell therapies requires characterizing when neuroepithelia or radial glia transition from a uniform population into areal specific progenitors, and the degree to which they are committed to an areal fate. In order to comprehensively characterize the areal diversity of cell types during human development, we performed single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples. With over a million cells, we identify hundreds of cells types including temporal and area specific neurons, interneurons and radial glia populations, as well as a number of subtypes from each of these classes that are expressed across most cortical areas. Additionally, we find a small number of subpopulations of neuroepithelial cells and identify several key pathways that may regulate the switch from neuroepithelia to radial glia identity. Together, these datasets suggest a model of both area restricted progenitor populations as well as radial glia cell types that are observed across cortical regions, suggesting an orchestrated interplay of fate determination that gives rise to the required cell diversity of the human cerebral cortex.",data collection project,,,
kriegstein_sc_ATACseq_proj,Single-Cell ATAC-seq of the Developing Human Brain,Single cell ATAC-seq,"Dynamic changes in chromatin accessibility coincide with important aspects of neuronal differentiation, such as fate specification and arealization and confer cell type-specific associations to neurodevelopmental disorders. However, studies of the epigenomic landscape of the developing human brain have yet to be performed at single-cell resolution. Here, we profiled chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq). We identified thousands of loci that undergo extensive cell type-specific changes in accessibility during corticogenesis. Chromatin state profiling also reveals novel distinctions between neural progenitor cells from different cortical areas not seen in transcriptomic profiles and suggests a role for retinoic acid signaling in cortical arealization. Comparison of the cell type-specific chromatin landscape of cerebral organoids to primary developing cortex found that organoids establish broad cell type-specific enhancer accessibility patterns similar to the developing cortex, but lack many putative regulatory elements identified in homologous primary cell types. Together, our results reveal the important contribution of chromatin state to the emerging patterns of cell type diversity and cell fate specification and provide a blueprint for evaluating the fidelity and robustness of cerebral organoids as a model for cortical development.",data collection project,,,
kriegstein_sn_10x_proj,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,10x 3' v2 sequencing,"Human cortical development spans years of prenatal and postnatal development. This incredibly complex process involves multiple interacting cell lineages and dynamic processes, such as neurogenesis and gliogenesis, neuronal migration, cell differentiation, areal specification, axon outgrowth and synapse formation and maturation. Human cortical development proceeds through a number of critical stages that are believed to be affected in neurodevelopmental and psychiatric diseases, such as autism spectrum disorder and schizophrenia. In order to investigate the dynamic landscape of human cortical development at the single-cell resolution, we utilized single-nucleus RNA sequencing (snRNA-seq) to profile more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas. We included samples ranging from second and third trimesters of prenatal development though neonatal and early postnatal stages to teenage and early adult years. By using unbiased nuclei isolation coupled with droplet-based single-cell profiling (10x Genomics), we generated over 300,000 single-nucleus transcriptomics profiles. We performed unbiased clustering, marker discovery and trajectory analysis, and were able to discover gene expression programs that underlie generation of subtypes of cortical projection neurons, interneurons and glial cell types, as well as critical process of development, such as generation of astrocytes, axon outgrowth, synapse formation and formation of mature cortical neuronal circuits. By intersecting cell type-specific developmental gene expression profiles with known genetic risk factors of neurodevelopmental disorders, we were able to identify cell types and developmental stages that can be especially affected in autism spectrum disorder and schizophrenia, leading to improper formation and function of specific cortical circuits. Our study sheds light on cell type-specific mechanisms of normal cortical development and cell types and processes affected in common neurodevelopmental disease. In addition, our rich single-nucleus transcriptomic atlas will be of great value to a wide range of neuroscientists.",data collection project,,,
lein_sn_10x,Transcriptomic characterization of cell types in human brain: 10x nuclei v2 and v3,10x 3' v2 and v3 sequencing,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord,data collection project,,,
lein_sn_SSv4_proj,Transcriptomic characterization of cell types in human brain: SMART-seq v4,SMART-seq v4,Deep transcriptomic analysis of hippocampus and dorsolateral prefrontal cortex,data collection project,,,
osten_stpt_proj,Whole Brain Quantitative Cell-Type Atlasing in Adult Male and Female Mouse.,Serial two photon tomography,"The stereotyped distribution of brain cell types, their numbers and ratios in all anatomical regions, is a fundamental determinant of brain functions, yet classical stereological methods have been too laborious to allow comprehensive analyses across animals and genders. Here we apply our quantitative brainwide (qBrain) cell-type mapping platform, comprising cell-type labeling, single-cell resolution imaging by serial two-photon tomography (STPT), and automated computational analyses, to map the stereotyped distributions of over thirty neuronal and glia cell types in male and female mouse brain. We discover detailed organizing principles underlying known functions of sensory, motor and cognitive cortical circuitries, as well as over a dozen of sex-dimorphic cell-type distributions primarily in brain structures of the vomeronasal system regulating reproductive and social behaviors. The qBrain atlas provides a unique anatomical resource that can be mined to link stereotyped aspects of neuronal distributions to known and unknown functions of diverse brain areas. ",data collection project,,,
yang_MORF_confocal_proj,Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons,Dendritome mapping,"Integrating molecular, morphological, and connectomic properties is critical for unbiased classification of neuronal cell types in the mammalian brain. Here we propose a novel approach to classify neuronal cell types by brainwide comprehensive profiling of the dendritic morphology of genetically-defined neurons in the mouse brain. We have developed an innovative mouse genetic tool, called Mosaicism with Repeat Frameshift (or MORF), which enables sparsely and stochastically labeling of genetically-defined neurons in mice. MORF reporter mice can label in exquisite detail single neurons from dendrite and spines to axons and axonal terminals at a labeling frequency of 1-5% of a given neuronal population. We propose to cross our new MORF lines with Cre mouse lines for striatal medium spiny neurons (MSNs) of direct- and indirect pathways, and for cortical pyramidal neurons of distinct cortical layers (i.e. L2/3/4, L5 and L6). Each MORF/Cre mouse will allow us to image the detailed dendritic morphology for thousands of genetically-defined striatal and cortical neurons (i.e. dendritome). We have also developed and streamlined imaging and computational tools to acquire and register brainwide single neuron morphological data onto a standard reference mouse brain atlas. We will digitally reconstruct hundreds of thousands of MORF-labeled neurons using our novel program called G-Cut. Reconstructed neurons will subsequently used for morphology based clustering to define new morphological subtypes, which in turn can be analyzed for the expression of novel molecular markers neuronal cell types (e.g. from single cell RNA-sequencing).  Finally, we will disseminate the data to the Brain Cell Data Center (BCDC) for data integration with those from other BRAIN Initiative Cell Census Network (BICCN) and for data access by the broader neuroscience research community. ",data collection project,,,
zeng_anderson_sc_10xv2_proj,Transcriptomic cell types of ventromedial hypothalamus in the mouse: 10x cells,10x 3' v2 sequencing,"The ventrolateral subdivision of the ventromedial hypothalamus (VMHvl) contains ~4,000 neurons that project to multiple targets and control innate social behaviors including aggression and mounting. However, the number of cell types in VMHvl and their relationship to connectivity and behavioral function are unknown. We performed single-cell RNA sequencing using two independent platforms-SMART-seq(~4,500 neurons) and 10x (~78,000 neurons)-and investigated correspondence between transcriptomic identity and axonal projections (Retro-seq for SMART-seq) or behavioral activation (Act-seq for 10x), respectively. Canonical correlation analysis identified 17 transcriptomic types (T-types), including several sexually dimorphic clusters, the majority of which were validated by seqFISH. Immediate early gene analysis from our Act-seq dataset identified T-types exhibiting preferential responses to intruder males versus females but only rare examples of behavior-specific activation.",data collection project,,,
zeng_fmost_proj,Full morphology in the mouse brain: fMOST,fMOST,"Our goal is to create high voxel resolution whole mouse brain datasets with fluorescence micro-optical sectioning tomography (fMOST) imaging method for reconstructing whole morphology of specific individual neurons. Statement about this dataset: Transgenic or viral strategies were used to sparsely label specific neuron populations in the brain with fluorescent reporters. For whole-brain imaging, the intact brain was embedded in glycol methacrylate resin. By using the fMOST technology, each embedded brain can be imaged with 1 micron voxel. This complete strategy can acquire a three-dimensional image set that can identify dendritic, axons, and their terminals across the whole mouse brain. Scope of this dataset: The dataset will survey full neuronal morphologies of representative cell types in the whole brain regions.",data collection project,,,
zeng_mouselight_proj,MouseLight imaging,MouseLight,MouseLight imaging.,data collection project,,,
zeng_retro_proj,Retrograde trans-synaptic imaging,Retrograde trans-synaptic,"Neuronal classification and connectivity have been the key point to understand brain. Single cell full morphology provides precise information for projection, correlation between dendrite and axon topology and functions. However, how to produce large-scale 3D full morphology is a major challenge. We developed a strict leveled protocol combined with automatic and manual procedures to systematically guide the neuron reconstruction process with clear standards. We reconstructed more than 1000 neurons located in thalamus, striatum, claustrum, etc. based on our protocol. Reconstructions of thalamus are grouped to sensory relay nuclei like VP, LGN, MG, VL etc. and higher order nuclei like PO, RT, etc. Strikingly, multiple axon clusters of single neuron present layer specific projections and highlights the projection which have been overlooked in population level, like VPM projecting to secondary sensory cortex. Axonal branching patterns are with different characteristics from different nuclei, like Neurons located in Reticular nucleus display netting pattern. Importantly, soma location, dendritic structure and axonal projection could be tightly correlated for specific neurons like neurons located nearby border of PO and VPM. Also, single cell could supply more accurate intracellular connectivity compared to population level.",data collection project,,,
zeng_sc_10x_proj,Transcriptomic cell types in the mouse brain: 10x cells,10x 3' sequencing,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Transgenic or viral strategies were used to label specific cell populations in the brain with fluorescent reporters. Sample collection was biased to enable sampling of as many cell types as possible and reduce redundant cell type collection. Most of the cells in this dataset were collected using broad Cre-driver lines that labeled all neurons (Snap25-IRES2-Cre), all Glutamatergic cells (Slc17a7-IRES2-Cre), or all GABAergic cells (Slc32a1-IRES-Cre or Gad2-IRES-Cre). Cells from primary visual cortex (VISp) and anterior lateral motor cortex (ALM, a subset of secondary motor cortex, MOs) were collected from a broad set of transgenic driver and reporter combinations in addition to the broad lines specified above. Fine dissections of brain regions and cortical layers were performed and tracked throughout sample processing. Specimens were dissected from both hemispheres in both male and female mice. Fluorescence activated s+J10orting of cells was performed based on expression or absence of fluorescent reporter labels to isolate individual cells into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes. This dataset will survey all major regions of the mouse brain. Publication: Tasic, B. et al. Nature 563, 72;78 (2018).",data collection project,,,
zeng_sc_SSv4_proj,Transcriptomic cell types in the mouse brain: SMART-seq cells,SMART-seq v4,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Transgenic or viral strategies were used to label specific cell populations in the brain with fluorescent reporters. Sample collection was biased to enable sampling of as many cell types as possible and reduce redundant cell type collection. Most of the cells in this dataset were collected using broad Cre-driver lines that labeled all neurons (Snap25-IRES2-Cre), all Glutamatergic cells (Slc17a7-IRES2-Cre), or all GABAergic cells (Slc32a1-IRES-Cre or Gad2-IRES-Cre). Cells from primary visual cortex (VISp) and anterior lateral motor cortex (ALM, a subset of secondary motor cortex, MOs) were collected from a broad set of transgenic driver and reporter combinations in addition to the broad lines specified above. Fine dissections of brain regions and cortical layers were performed and tracked throughout sample processing. Specimens were dissected from both hemispheres in both male and female mice. Fluorescence activated s+J10orting of cells was performed based on expression or absence of fluorescent reporter labels to isolate individual cells into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes. This dataset will survey all major regions of the mouse brain. Publication: Tasic, B. et al. Nature 563, 72;78 (2018).",data collection project,,,
zeng_sn_10x_proj,Transcriptomic cell types in the mouse brain: 10x nuclei,10x 3' v2 and v3 sequencing,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Coarse dissections of brain regions were performed and specimens were dissected from both hemispheres of male and female mice. Nuclei were extracted from dissected tissues, and fluorescence activated sorting of nuclei was performed based on antibody labeling of NeuN protein to obtains pools of nuclei enriched for neurons. These pools of nuclei were processed for single nucleus RNA sequencing using 10X Chromium v2, which isolated nuclei in droplets to assign individual nucleus barcodes. This method enables a rapid, large-scale survey of cell types in brain regions with accurate recovery of cell type proportions, but at low gene coverage per nucleus. This dataset surveys cells in the primary motor cortex (MOp) as well as regions where isolation of whole cells is difficult, or nuclear profiling is needed to establish cell type proportions.",data collection project,,,
